PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201900067525	30409177	Article		Visualization-assisted binning of metagenome assemblies reveals potential new pathogenic profiles in idiopathic travelers' diarrhea		Zhu, Qiyun; Dupont, Christopher L.; Jones, Marcus B.; Pham, Kevin M.; Jiang, Zhi-Dong; DuPont, Herbert L.; Highlander, Sarah K. (shighlander@tgen.org)									Microbiome		2018	NOV 8 2018	6		Article No.: 201	201		English						BackgroundTravelers' diarrhea (TD) is often caused by enterotoxigenic Escherichia coli, enteroaggregative E. coli, other bacterial pathogens, Norovirus, and occasionally parasites. Nevertheless, standard diagnostic methods fail to identify pathogens in more than 40% of TD patients. It is predicted that new pathogens may be causative agents of the disease.ResultsWe performed a comprehensive amplicon and whole genome shotgun (WGS) metagenomic study of the fecal microbiomes from 23 TD patients and sevenhealthy travelers, all of which were negative for the known etiologic agents of TD based on standard microbiological and immunological assays. Abnormal and diverse taxonomic profiles in TD samples were revealed. WGS reads were assembled and the resulting contigs were visualized using multiple query types. A semi-manual workflow was applied to isolate independent genomes from metagenomic pools. A total of 565 genome bins were extracted, 320 of which were complete enough to be characterized as cellular genomes; 160 were viral genomes. We made predictions of the etiology of disease for many of the individual subjects based on the properties and features of the recovered genomes. Multiple patients with low-diversity metagenomes were predominated by one to several E. coli strains. Functional annotation allowed prediction of pathogenic type in many cases. Five patients were co-infected with E. coli and other members of Enterobacteriaceae, including Enterobacter, Klebsiella, and Citrobacter; these may represent blooms of organisms that appear following secretory diarrhea. New dark matter microbes were observed in multiple samples. In one, we identified a novel TM7 genome that phylogenetically clustered with a sludge isolate; it carries genes encoding potential virulence factors. In multiple samples, we observed high proportions of putative novel viral genomes, some of which form clusters with the ubiquitous gut virus, crAssphage. The total relative abundance of viruses was significantly higher in healthy travelers versus TD patients.ConclusionOur study highlights the strength of assembly-based metagenomics, especially the manually curated, visualization-assisted binning of contigs, in resolving unusual and under-characterized pathogenic profiles of human-associated microbiomes. Results show that TD may be polymicrobial, with multiple novel cellular and viral strains as potential players in the diarrheal disease.	Zhu, Qiyun; Highlander, Sarah K.; J Craig Venter Inst, 4120 Capricorn Lane, La Jolla, CA 92037 USA			Highlander, Sarah/0000-0002-3800-4950	2	6		114	2	4			Infectious Diseases; Gastroenterology & Hepatology; Genetics & Heredity	2049-2618	2049-2618	10.1186/s40168-018-0579-0		Infection; Gastroenterology (Human Medicine, Medical Sciences); Molecular Genetics (Biochemistry and Molecular Biophysics)	03502, Genetics - General; 03508, Genetics - Human; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 14004, Digestive system - Physiology and biochemistry; 14006, Digestive system - Pathology; 31000, Physiology and biochemistry of bacteria; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods; 36002, Medical and clinical microbiology - Bacteriology; 36006, Medical and clinical microbiology - Virology	Positive Sense ssRNA Viruses, Viruses, Microorganisms; Microorganisms, Positive Sense Single-Stranded RNA Viruses, Viruses; Caliciviridae [03607]; [Norovirus; (pathogen)]/Facultatively Anaerobic Gram-Negative Rods, Eubacteria, Bacteria, Microorganisms; Bacteria, Eubacteria, Microorganisms; Enterobacteriaceae [06702]; [Klebsiella; (pathogen)] [Enterobacter; (pathogen)] [Escherichia coli; (pathogen)] [Citrobacter; (pathogen)]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human; (host; female, male)]	secretory diarrhea; Diarrhea (MeSH); digestive system disease/traveler's diarrhea; digestive system disease	genes					immunological assay; laboratory techniques, bioassay techniques/immunological analysis; laboratory techniques, immunologic techniques/amplicon sequencing; laboratory techniques, genetic techniques/whole genome shotgun sequencing; laboratory techniques, genetic techniques	feces; digestive system/gut; digestive system	genome, taxonomic profile, metagenome assembly	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI201900202960	30387412	Article	Literature Review	Laboratory Methods in Molecular Epidemiology: Viral Infections		Parreira, Ricardo (ricardo@ihmt.unl.pt)									Microbiology Spectrum		2018	NOV 2018	6	6	Article No.: AME-0003-2018	AME		English						Viruses, which are the most abundant biological entities on the planet, have been regarded as the "dark matter" of biology in the sense that despite their ubiquity and frequent presence in large numbers, their detection and analysis are not always straightforward. The majority of them are very small (falling under the limit of 0.5 mu m), and collectively, they are extraordinarily diverse. In fact, the majority of the genetic diversity on the planet is found in the so-called virosphere, or the world of viruses. Furthermore, the most frequent viral agents of disease in humans display an RNA genome, and frequently evolve very fast, due to the fact that most of their polymerases are devoid of proofreading activity. Therefore, their detection, genetic characterization, and epidemiological surveillance are rather challenging. This review (part of the Curated Collection on Advances in Molecular Epidemiology of Infectious Diseases) describes many of the methods that, throughout the last few decades, have been used for viral detection and analysis. Despite the challenge of having to deal with high genetic diversity, the majority of these methods still depend on the amplification of viral genomic sequences, using sequence-specific or sequence-independent approaches, exploring thermal profiles or a single nucleic acid amplification temperature. Furthermore, viral populations, and especially those with RNA genomes, are not usually genetically uniform but encompass swarms of genetically related, though distinct, viral genomes known as viral quasispecies. Therefore, sequence analysis of viral amplicons needs to take this fact into consideration, as it constitutes a potential analytic problem. Possible technical approaches to deal with it are also described here. *This article is part of a curated collection.	Parreira, Ricardo; Univ Nova Lisboa, Unidade Microbiol Med, IHMT, GHTM Res Ctr, P-1349008 Lisbon, Portugal		Parreira, Ricardo/AAH-4559-2019; Parreira, Ricardo/I-2304-2012	Parreira, Ricardo/0000-0002-4832-9898; Parreira, Ricardo/0000-0002-4832-9898	1	5		181	2	3			Public, Environmental & Occupational Health; Infectious Diseases; Genetics & Heredity; Health Care Sciences & Services; General & Internal Medicine	2165-0497	2165-0497	10.1128/microbiolspec.AME-0003-2018		Epidemiology (Population Studies); Infection; Molecular Genetics (Biochemistry and Molecular Biophysics); Population Genetics (Population Studies); Human Medicine (Medical Sciences)	03502, Genetics - General; 03508, Genetics - Human; 03509, Genetics - Population genetics; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 12502, Pathology - General; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods; 36006, Medical and clinical microbiology - Virology; 37052, Public health: epidemiology - Communicable diseases; 37056, Public health: epidemiology - Miscellaneous	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human; (host)]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Virus; (pathogen)]	viral infection; Virus Diseases (MeSH); viral disease; epidemiology	RNA/amplicons					sequence analysis; laboratory techniques, genetic techniques		genome, genetic diversity				2020-10-14	
J	BCI:BCI201801015009	30037084	Article	Literature Review	RNA Phage Biology in a Metagenomic Era		Callanan, Julie (julie.callanan@umail.ucc.ie) ; Stockdale, Stephen R. (s.stockdale@umail.ucc.ie) ; Shkoporov, Andrey (andrey.shkoporov@ucc.ie) ; Draper, Lorraine A. (l.draper@ucc.ie) ; Ross, R. Paul (p.ross@ucc.ie) ; Hill, Colin (c.hill@ucc.ie)									Viruses-Basel		2018	JUL 2018	10	7	Article No.: 386	386		English						The number of novel bacteriophage sequences has expanded significantly as a result of many metagenomic studies of phage populations in diverse environments. Most of these novel sequences bear little or no homology to existing databases (referred to as the "viral dark matter"). Also, these sequences are primarily derived from DNA-encoded bacteriophages (phages) with few RNA phages included. Despite the rapid advancements in high-throughput sequencing, few studies enrich for RNA viruses, i.e., target viral rather than cellular fraction and/or RNA rather than DNA via a reverse transcriptase step, in an attempt to capture the RNA viruses present in a microbial communities. It is timely to compile existing and relevant information about RNA phages to provide an insight into many of their important biological features, which should aid in sequence-based discovery and in their subsequent annotation. Without comprehensive studies, the biological significance of RNA phages has been largely ignored. Future bacteriophage studies should be adapted to ensure they are properly represented in phageomic studies.	Callanan, Julie; Hill, Colin; Univ Coll Cork, APC Microbiome Ireland, Cork T12 YT20, Ireland		Ross, Paul/A-7584-2015; Hill, Colin/A-5611-2012; Shkoporov, Andrey/AAA-3043-2020	Ross, Paul/0000-0003-4876-8839; Hill, Colin/0000-0002-8527-1445; Shkoporov, Andrey/0000-0002-5547-8672; Callanan, Julie/0000-0003-2222-2344	0	3		139	5	7			Science & Technology - Other Topics; Infectious Diseases; Genetics & Heredity	1999-4915	1999-4915	10.3390/v10070386		Methods and Techniques; Infection; Molecular Genetics (Biochemistry and Molecular Biophysics)	03502, Genetics - General; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods	Microorganisms; Microorganisms, Viruses; Viruses [03000]; [RNA virus; (pathogen)] [DNA virus; (pathogen)] [Bacteriophage; (pathogen)] [RNA phage]		ssRNA; single-stranded RNA/dsRNA; double-stranded RNA					high-throughput sequencing method; laboratory techniques, genetic techniques		metagenomic era, sequence-based discovery, phageomic study	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI201800639562	29764943	Article		Microscopic and Molecular Evidence of the First Elasmobranch Adomavirus, the Cause of Skin Disease in a Giant Guitarfish, Rhynchobatus djiddensis		Dill, Jennifer A.; Camus, Alvin C. (camus@uga.edu) ; Leary, John H.; Terry Fei Fan Ng (ylz9@cdc.gov)									mBio		2018	MAY-JUN 2018	9	3	Article No.: e00185-18	e00185	18	English						Only eight families of double-stranded DNA (dsDNA) viruses are known to infect vertebrate animals. During an investigation of papillomatous skin disease in an elasmobranch species, the giant guitarfish (Rhynchobatus djiddensis), a novel virus, distinct from all known viral families in regard to particle size, morphology, genome organization, and helicase phylogeny was discovered. Large inclusion bodies containing 75-nm icosahedral viral particles were present within epithelial cell nuclei in the proliferative skin lesions. Deep metagenomic sequencing revealed a 22-kb circular dsDNA viral genome, tentatively named guitarfish "adomavirus" (GAdoV), with only distant homology to two other fish viruses, Japanese eel endothelial cellinfecting virus (JEECV) and a recently reported marbled eel virus. Phylogenetic analysis of the helicase domain places the guitarfish virus in a novel clade that is equidistant between members of the Papillomaviridae and Polyomaviridae families. Specific PCR, quantitative PCR, and in situ hybridization were used to detect, quantify, and confirm that GAdoV DNA was localized to affected epithelial cell nuclei. Changes in the viral titer, as well as the presence of a hybridization signal, coincided with the progression and then final resolution of gross and microscopic lesions. The results indicate that GAdoV is the causative agent of the proliferative skin lesions.IMPORTANCE Cartilaginous fish, including the sharks and rays, evolved from ancestral fish species at least 400 million years ago. Even though they are the descendants of one of the most ancient vertebrate lineages, reports of viral diseases in these species are rare and poorly documented. Deep sequencing revealed a highly divergent virus, tentatively named guitarfish adomavirus, that is distantly related to known papillomaviruses and polyomaviruses. Out of the eight predicted viral genes, only the helicase could be identified as viral by sequence homology searches (BLAST), exemplifying the difficulties of discovering novel viruses within seas of unidentifiable "dark matter" associated with deep sequencing data. The novel adomavirus represents the first viral genome shown to cause clinical disease in a cartilaginous fish species, the giant guitarfish. Our findings demonstrate that emerging fish viruses are fertile ground to expand our understanding of viral evolution in vertebrates.	Dill, Jennifer A.; Camus, Alvin C.; Terry Fei Fan Ng; Univ Georgia, Coll Vet Med, Dept Pathol, Athens, GA 30602 USA		Ng, Terry Fei Fan/H-5305-2019	Ng, Terry Fei Fan/0000-0002-4815-8697	0	5		24	5	6			Infectious Diseases; Genetics & Heredity; Dermatology	2150-7511	2150-7511	10.1128/mBio.00185-18		Infection; Molecular Genetics (Biochemistry and Molecular Biophysics); Integumentary System (Chemical Coordination and Homeostasis)	02506, Cytology - Animal; 03502, Genetics - General; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 18504, Integumentary system - Physiology and biochemistry; 18506, Integumentary system - Pathology; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods; 36006, Medical and clinical microbiology - Virology	dsDNA Viruses, Viruses, Microorganisms; Double-Stranded DNA Viruses, Microorganisms, Viruses; Papillomaviridae [03118]; [Papillomaviridae]/dsDNA Viruses, Viruses, Microorganisms; Double-Stranded DNA Viruses, Microorganisms, Viruses; Polyomaviridae [03117]; [Polyomaviridae]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Japanese eel endothelial cell infecting virus] [Marbled eel virus]	skin disease; Skin Diseases (MeSH); integumentary system disease	DNA/helicase					polymerase chain reaction; PCR; laboratory techniques, genetic techniques/in situ hybridization; laboratory techniques, genetic techniques/phylogenetic analysis; laboratory techniques, mathematical and computer techniques, genetic techniques/microscopy; laboratory techniques, diagnostic techniques, imaging and microscopy techniques/deep metagenomic sequencing; laboratory techniques, genetic techniques	nucleus/epithelial cell	hybridization signal	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI201800372153	29522738	Article	Editorial	Using Metagenomics to Characterize an Expanding Virosphere		Zhang, Yong-Zhen (zhangyongzhen@shphc.org.cn) ; Shi, Mang; Holmes, Edward C.									Cell		2018	MAR 8 2018	172	6	1168-1172	1168	1172	English						We know less about viruses than any other lifeform. Fortunately, metagenomics has led to a massive expansion in the known diversity of the virosphere. Here, we discuss how metagenomics has changed our understanding of RNA viruses and present some of the remaining challenges, including characterization of the "dark matter'' of divergent viral genomes.	Zhang, Yong-Zhen; Fudan Univ, Shanghai Publ Hlth Clin Ctr, Shanghai, Peoples R China		Holmes, Edward/Y-2789-2019; Zhang, Yong-Zhen/AAE-6957-2019	Holmes, Edward/0000-0001-9596-3552; Shi, Mang/0000-0002-6154-4437	0	32		14	41	50			Infectious Diseases; Genetics & Heredity; Biodiversity & Conservation	0092-8674	1097-4172	10.1016/j.cell.2018.02.043		Infection; Molecular Genetics (Biochemistry and Molecular Biophysics); Biodiversity	03502, Genetics - General; 07502, Ecology: environmental biology - General and methods; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods	Microorganisms; Microorganisms, Viruses; Viruses [03000]; [RNA virus; (pathogen)]		gene					metagenome analysis; laboratory techniques, genetic techniques		genome, species diversity, genome evolution, genome diversity, virus characterization, virosphere	Bronze			2020-10-14	
J	BCI:BCI201800324331	29154906	Article		Increase in taxonomic assignment efficiency of viral reads in metagenomic studies		Francois, S.; Filloux, D.; Frayssinet, M.; Roumagnac, P.; Martin, D. P.; Ogliastro, M.; Froissart, R. (remy.froissart@cnrs.fr)									Virus Research		2018	JAN 15 2018	244	Sp. Iss. SI	230-234	230	234	English						Metagenomics studies have revolutionized the field of biology by revealing the presence of many previously unisolated and uncultured micro-organisms. However, one of the main problems encountered in metagenomic studies is the high percentage of sequences that cannot be assigned taxonomically using commonly used similarity-based approaches (e.g. BLAST or HMM). These unassigned sequences are allegorically called "dark matter" in the metagenomic literature and are often referred to as being derived from new or unknown organisms. Here, based on published and original metagenomic datasets coming from virus-like particle enriched samples, we present and quantify the improvement of viral taxonomic assignment that is achievable with a new similarity-based approach. Indeed, prior to any use of similarity based taxonomic assignment methods, we propose assembling contigs from short reads as is currently routinely done in metagenomic studies, but then to further map unassembled reads to the assembled contigs. This additional mapping step increases significantly the proportions of taxonomically assignable sequence reads from a variety plant, insect and environmental (estuary, lakes, soil, feces) - of virome studies.	Froissart, R.; Univ Montpellier, CNRS, IRD, UMR MIVEGEC, 911 Ave Agropolis, F-34394 Montpellier, France		Francois, Sarah/M-7878-2019	Francois, Sarah/0000-0002-1138-8800; Froissart, Remy/0000-0001-8234-1308; Roumagnac, Philippe/0000-0001-5002-6039	1	16		33	4	4			Infectious Diseases; Mathematical & Computational Biology; Genetics & Heredity; Life Sciences & Biomedicine - Other Topics	0168-1702	1872-7492	10.1016/j.virusres.2017.11.011		Infection; Computer Applications (Computational Biology); Molecular Genetics (Biochemistry and Molecular Biophysics); Systematics and Taxonomy	00504, General biology - Taxonomy, nomenclature and terminology; 00530, General biology - Information, documentation, retrieval and computer applications; 03502, Genetics - General; 03504, Genetics - Plant; 03506, Genetics - Animal; 03508, Genetics - Human; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods; 50530, Botany: general and systematic; 62520, Chordata: general and systematic - Mammalia; 63572, Invertebrata: general and systematic - Insecta: general; 64076, Invertebrata: comparative, experimental morphology, physiology and pathology - Insecta: physiology	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human; (host)]/Arthropoda, Invertebrata, Animalia; Animals, Arthropods, Insects, Invertebrates; Insecta [75300]; [insect; (host)]/Plantae; Plants; Plantae [11000]; [plant; (host)]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Virus; (pathogen)]		virus-like particle/virome					HMM analysis; mathematical and computer techniques		metagenomic study, taxonomic assignment efficiency				2020-10-14	
J	BCI:BCI201800056593	28739513	Article		Intrauterine inflammation induces sex-specific effects on neuroinflammation, white matter, and behavior		Makinson, Ryan; Lloyd, Kelsey; Rayasam, Aditya; McKee, Sarah; Brown, Amy; Barila, Guillermo; Grissom, Nicola; George, Robert; Marini, Matt; Fabry, Zsuzsanna; Elovitz, Michal; Reyes, Teresa M. (reyesta@ucmail.uc.edu)									Brain Behavior and Immunity		2017	NOV 2017	66		277-288	277	288	English						Exposure to inflammation during pregnancy has been linked to adverse neurodevelopmental consequences for the offspring. One common route through which a developing fetus is exposed to inflammation is with intrauterine inflammation. To that end, we utilized an animal model of intrauterine inflammation (IUI; intrauterine lipopolysaccharide (LPS) administration, 50 mu g, E15) to assess placental and fetal brain inflammatory responses, white matter integrity, anxiety-related behaviors (elevated zero maze, light dark box, open field), microglial counts, and the CNS cytokine response to an acute injection of LPS in both males and females. These studies revealed that for multiple endpoints (fetal brain cytokine levels, cytokine response to adult LPS challenge) male IUI offspring were uniquely affected by intrauterine inflammation, while for other endpoints (behavior, microglial number) both sexes were similarly affected. These data advance our understanding of sex-specific effects of early life exposure to inflammation in a translationally-relevant model. (C) 2017 Elsevier Inc. All rights reserved.	Reyes, Teresa M.; Univ Cincinnati, Coll Med, Cincinnati, OH 45220 USA			Elovitz, Michal/0000-0001-7554-7180; Lloyd, Kelsey/0000-0003-4301-5117	1	10		82	16	23			Toxicology; Immunology; Neurosciences & Neurology	0889-1591	1090-2139	10.1016/j.bbi.2017.07.016		Toxicology; Immune System (Chemical Coordination and Homeostasis); Nervous System (Neural Coordination)	02506, Cytology - Animal; 02508, Cytology - Human; 07004, Behavioral biology - Human behavior; 10066, Biochemistry studies - Lipids; 10068, Biochemistry studies - Carbohydrates; 16504, Reproductive system - Physiology and biochemistry; 17002, Endocrine - General; 20504, Nervous system - Physiology and biochemistry; 20506, Nervous system - Pathology; 21002, Psychiatry - Psychopathology, psychodynamics and therapy; 22501, Toxicology - General and methods ; 34502, Immunology - General and methods; 34508, Immunology - Immunopathology, tissue immunology; 36006, Medical and clinical microbiology - Virology	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human; (middle age; female, male)]/Rodentia, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Mammals, Nonhuman Vertebrates, Nonhuman Mammals, Rodents, Vertebrates; Muridae [86375]; [mouse; (mature; male)]	anxiety; Anxiety (MeSH); behavioral and mental disorders/brain inflammation; nervous system disease, viral disease/neuroinflammation disease; nervous system disease, immune system disease	cytokine/lipopolysaccharide; LPS; (toxin)						brain; nervous system/white matter; nervous system/prefrontal cortex; nervous system/central nervous system; CNS; nervous system/microglial cell; immune system, nervous system/uterine fluid; reproductive system	sex-specific effect, behavior condition	Green Accepted			2020-10-14	
J	BCI:BCI201700867409	29026445	Article	Literature Review	Viral communities of the human gut: metagenomic analysis of composition and dynamics		Aggarwala, Varun; Liang, Guanxiang; Bushman, Frederic D. (bushman@mail.med.upenn.edu)									Mobile DNA		2017	OCT 3 2017	8		Article No.: 12	12		English						Background: The numerically most abundant biological entities on Earth are viruses. Vast populations prey on the cellular microbiota in all habitats, including the human gut.Main body: Here we review approaches for studying the human virome, and some recent results on movement of viral sequences between bacterial cells and eukaryotic hosts. We first overview biochemical and bioinformatic methods, emphasizing that specific choices in the methods used can have strong effects on the results obtained. We then review studies characterizing the virome of the healthy human gut, which reveal that most of the viruses detected are typically uncharacterized phage - the viral dark matter - and that viruses that infect human cells are encountered only rarely. We then review movement of phage between bacterial cells during antibiotic treatment. Here a radical proposal for extensive movement of antibiotic genes on phage has been challenged by a careful reanalysis of the metagenomic annotation methods used. We then review two recent studies of movement of whole phage communities between human individuals during fecal microbial transplantation, which emphasize the possible role of lysogeny in dispersal.Short conclusion: Methods for studying the human gut virome are improving, yielding interesting data on movement of phage genes between cells and mammalian host organisms. However, viral populations are vast, and studies of their composition and function are just beginning.	Bushman, Frederic D.; Univ Penn, Sch Med, Dept Microbiol, 3610 Hamilton Walk, Philadelphia, PA 19104 USA		Liang, Guanxiang/C-7108-2018	Bushman, Frederic/0000-0003-4740-4056; Aggarwala, Varun/0000-0002-5499-7745	1	31		101	20	28			Infectious Diseases; Gastroenterology & Hepatology; Genetics & Heredity	1759-8753	1759-8753	10.1186/s13100-017-0095-y		Infection; Gastroenterology (Human Medicine, Medical Sciences); Molecular Genetics (Biochemistry and Molecular Biophysics)	03502, Genetics - General; 03508, Genetics - Human; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 14004, Digestive system - Physiology and biochemistry; 14006, Digestive system - Pathology; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods; 36006, Medical and clinical microbiology - Virology; 38504, Chemotherapy - Antibacterial agents	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Phage; Bacteriophage; (pathogen)]		genes					bioinformatics analysis; mathematical and computer techniques/antibiotic therapy; therapeutic and prophylactic techniques, clinical techniques/metagenome analysis; laboratory techniques, genetic techniques	gut; digestive system	viral dynamics, viral composition	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI201800167108	28928211	Article		The CRISPR Spacer Space Is Dominated by Sequences from Species-Specific Mobilomes		Shmakov, Sergey A.; Sitnik, Vassilii; Makarova, Kira S.; Wolf, Yuri I.; Severinov, Konstantin V.; Koonin, Eugene V. (koonin@ncbi.nlm.nih.gov)									mBio		2017	SEP-OCT 2017	8	5	Article No.: e01397-17	e01397	17	English						Clustered regularly interspaced short palindromic repeats and CRISPR-associated protein (CRISPR-Cas) systems store the memory of past encounters with foreign DNA in unique spacers that are inserted between direct repeats in CRISPR arrays. For only a small fraction of the spacers, homologous sequences, called proto-spacers, are detectable in viral, plasmid, and microbial genomes. The rest of the spacers remain the CRISPR "dark matter." We performed a comprehensive analysis of the spacers from all CRISPR-cas loci identified in bacterial and archaeal genomes, and we found that, depending on the CRISPR-Cas subtype and the prokaryotic phylum, protospacers were detectable for 1% to about 19% of the spacers (similar to 7% global average). Among the detected protospacers, the majority, typically 80 to 90%, originated from viral genomes, including proviruses, and among the rest, the most common source was genes that are integrated into microbial chromosomes but are involved in plasmid conjugation or replication. Thus, almost all spacers with identifiable protospacers target mobile genetic elements (MGE). The GC content, as well as dinucleotide and tetranucleotide compositions, of microbial genomes, their spacer complements, and the cognate viral genomes showed a nearly perfect correlation and were almost identical. Given the near absence of self-targeting spacers, these findings are most compatible with the possibility that the spacers, including the dark matter, are derived almost completely from the species-specific microbial mobilomes.IMPORTANCE The principal function of CRISPR-Cas systems is thought to be protection of bacteria and archaea against viruses and other parasitic genetic elements. The CRISPR defense function is mediated by sequences from parasitic elements, known as spacers, that are inserted into CRISPR arrays and then transcribed and employed as guides to identify and inactivate the cognate parasitic genomes. However, only a small fraction of the CRISPR spacers match any sequences in the current databases, and of these, only a minority correspond to known parasitic elements. We show that nearly all spacers with matches originate from viral or plasmid genomes that are either free or have been integrated into the host genome. We further demonstrate that spacers with no matches have the same properties as those of identifiable origins, strongly suggesting that all spacers originate from mobile elements.	Koonin, Eugene V.; Natl Lib Med, Natl Ctr Biotechnol Informat, Bethesda, MD 20894 USA		Severinov, Konstantin/C-8545-2016	Wolf, Yuri/0000-0002-0247-8708	1	12		87	57	62			Science & Technology - Other Topics; Genetics & Heredity	2150-7511	2150-7511	10.1128/mBio.01397-17		Methods and Techniques; Molecular Genetics (Biochemistry and Molecular Biophysics)	03502, Genetics - General; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 31000, Physiology and biochemistry of bacteria; 31500, Genetics of bacteria and viruses	Bacteria, Microorganisms; Archaeobacteria, Bacteria, Microorganisms; Archaeobacteria [09400]; [archaea]/Microorganisms; Bacteria, Eubacteria, Microorganisms; Bacteria [05000]; [bacteria]		DNA/genes/plasmid/transcripts/nuclease/tetranucleotide/dinucleotide/mobi le genetic elements/CRISPR-Cas/CRISPR-associated protein					clustered regularly interspaced short palindromic repeats array; CRISPR array; laboratory techniques, genetic techniques		genome, species-specific mobilome	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI201800013828	28192164	Article	Literature Review	Origins and challenges of viral dark matter		Krishnamurthy, Siddharth R.; Wang, David (davewang@wustl.edu)									Virus Research		2017	JUL 15 2017	239	Sp. Iss. SI	136-142	136	142	English						The accurate classification of viral dark matter - metagenomic sequences that originate from viruses but do not align to any reference virus sequences - is one of the major obstacles in comprehensively defining the virome. Depending on the sample, viral dark matter can make up from anywhere between 40 and 90% of sequences. This review focuses on the specific nature of dark matter as it relates to viral sequences. We identify three factors that contribute to the existence of viral dark matter: the divergence and length of virus sequences, the limitations of alignment based classification, and limited representation of viruses in reference sequence databases. We then discuss current methods that have been developed to at least partially circumvent these limitations and thereby reduce the extent of viral dark matter. (C) 2017 Elsevier B.V. All rights reserved.	Wang, David; Washington Univ, Sch Med, Dept Mol Microbiol, St Louis, MO 63110 USA			Krishnamurthy, Siddharth/0000-0003-1777-8292	4	16		83	44	53			Genetics & Heredity; Mathematical & Computational Biology; Evolutionary Biology	0168-1702	1872-7492	10.1016/j.virusres.2017.02.002		Molecular Genetics (Biochemistry and Molecular Biophysics); Mathematical Biology (Computational Biology); Evolution and Adaptation	01500, Evolution; 03502, Genetics - General; 04500, Mathematical biology and statistical methods								alignment algorithm; mathematical and computer techniques/viral sequencing; laboratory techniques, genetic techniques/metagenome sequencing; laboratory techniques, genetic techniques		GenBank database, reference sequence database, viral dark matter				2020-10-14	
