type,family,virus name,mutation_rate,rate_type,study,regions_used
(-)ssRNA,Paramyxoviridae,Mumps virus ,0.00211,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Paramyxoviridae,Newcastle disease virus ,0.00254,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Rhabdoviridae,Bovine ephemeral fever virus ,0.00223,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Rhabdoviridae,Rabies virus ,0.00128,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Rhabdoviridae,Vesicular stomatitis virus ,0.000072,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Filoviridae ,Ebola-like viruses ,0.000154,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Orthomyxoviridae ,Human Influenza virus A ,0.00684,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Orthomyxoviridae ,Human influenza virus B ,0.0023,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Orthomyxoviridae ,Human influenza virus C ,0.00127,synonymous,Hanada et al. (2004),whole genome
dsRNA,Reoviridae ,Human rota virus ,0.00193,synonymous,Hanada et al. (2004),whole genome
dsRNA,Reoviridae ,Mamalian orthoreo virus ,0.000842,synonymous,Hanada et al. (2004),whole genome
dsRNA,Reoviridae ,Bluetongue virus,0.000422,synonymous,Hanada et al. (2004),whole genome
ssRNA-RT,Retroviridae ,Simian foamy virus ,0.000029,synonymous,Hanada et al. (2004),whole genome
ssRNA-RT,Retroviridae ,Human immunodeficiency virus ,0.00238,synonymous,Hanada et al. (2004),whole genome
ssRNA-RT,Retroviridae ,Human T-lymphotropic virus 1 ,0.0000052,synonymous,Hanada et al. (2004),whole genome
ssDNA,Anelloviridae,Human TTV,0.00073,synonymous,Umemura et al. (2001),"ORF1, ORF2"
ssDNA,Anelloviridae,TTSuV,0.00054,substitution,Cadar et al. (2013),"~ 700 nt; untranslated region, ORF2 and 5′-end of ORF1"
ssDNA,Anelloviridae,Human TTV,0.000231,substitution,Bedarida et al. (2017),whole genome
ssDNA,Anelloviridae,Feline TTV,0.000298,substitution,Bedarida et al. (2017),whole genome
dsDNA-RT,Hepadnaviridae,Hepatitis B virus,0.0000457,synonymous,Orito et al. (1989),whole genome
dsDNA,Herpesviridae,Herpes simplex virus 1,0.000000035,substitution,Sakaoka et al. (1984),whole genome
dsDNA,Polyomaviridae,Primate polyomavirus,0.000000038,synonymous,Yasunaga & Miyata (1982),whole genome
dsDNA,Polyomaviridae,Human polyomavirus JC,0.0000004,synonymous,Hatwell & Sharp (2000),whole genome
ssDNA,Parvoviridae,Human B19 Erythrovirus,0.000183,substitution,Shackelton & Holmes (2006),coding regions
ssDNA,Circoviridae,Porcine circovirus 2,0.0012,substitution,Firth et al. (2009),"ORF1, ORF3"
dsDNA,Papillomaviridae,Human Papillomavirus,0.000000018,substitution,Chen et al. (2017),whole genome
